progress	50.2																																														
Notes	Final	Who	known habitat	Isolation_ecosystem_category	Isolation_ecosystem_type	Kingdom	Phyla-Order	GOLD Project ID	Project Name	Other Names	Legacy ER Project ID	Legacy GOLD ID	NCBI BioProject Name	NCBI BioProject ID	NCBI BioProject Accession	NCBI Locus Tag	NCBI Bio Project Description	Project Comments	Project Description	Sequencing Comments	Library Method	Number Of Reads	Sequencing Depth	Vector	GC Percent	Chromosome Count	Plasmid Count	Cultured	Organism Type	ITS Proposal ID	ITS SPID	GPTS Proposal ID	PMO Project ID	Last Modified Date	Add Date	Genetically modified										Keywords for soil	
		Adina	Aquatic-Fresh water-Hot spring-Hydrothermal vent-Sediment	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001307	Thermococcus onnurineus NA1		11211	Gc00859	Thermococcus onnurineus NA1	20773	PRJNA20773	TON			Hyperthermophilic bacterium		"2-3Kb, 40Kb, 35Kb"	"13186 with ABI, 581990 with 454"			51	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Aquatic-Fresh water-Lake	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0006794	"Natronobacterium gregoryi SP2, DSM 3393"	Natronobacterium gregoryi SP2	588	Gc02449	Natronobacterium gregoryi SP2	60135	PRJNA60135	Natgr			Natronobacterium gregoryi SP2 genome sequencing				30x		62	1		Yes	Natural	249		300568	402806	5/20/14	2/4/10												
mud is soil	1	Adina	Aquatic-Fresh water-Mud	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0000448	"Methanosarcina barkeri Fusaro, DSM 804"	Methanosarcina barkeri fusaro	10390	Gc00295	Methanosarcina barkeri str. Fusaro	103	PRJNA103	Mbar			Anaerobic methane-producing archeon		"3 kb, 8 kb, 40 kb"	85812	12x		39	1	1	Yes	Natural			300101	16141	4/8/14	11/27/07												
		Adina	Aquatic-Fresh water-Ponds-Solar saltern	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0004017	"Haloquadratum walsbyi C23, DSM 16854"		186	Gc01796	Haloquadratum walsbyi C23	49335	PRJEA49335	HQRW			Haloquadratum walsbyi C23 genome sequencing project						48	1	3	Yes	Natural					8/18/14	9/17/08												
		Adina	Aquatic-Fresh water-Ponds-Solar saltern	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0000319	"Haloquadratum walsbyi HBSQ001, DSM 16790"		10277	Gc00409	Haloquadratum walsbyi DSM 16790	17185	PRJNA17185	HQ			A uniquely square archaeon		3 kb		6.5x		48	1	1	Yes	Natural					4/8/14	11/27/07												
		Adina	Aquatic-Fresh water-Ponds-Solar saltern	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0000404	"Natronomonas moolapensis 8.8.11, DSM 18674"		13961	Gc0013961	Natronomonas moolapensis 8.8.11	50649	PRJEA50649	NMLP			Natronomonas moolapensis 8.8.11 Genome sequencing						65	1	0	Yes	Natural					4/8/14	9/17/08												
		Adina	Aquatic-Fresh water-Saline water	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0006809	"Halovivax ruber XH-70, DSM 18193"	Halovivax ruber XH-70	587	Gc0000587	Halovivax ruber XH-70	59897	PRJNA59897	Halru			Halovivax ruber XH-70 genome sequencing project						64	1	0	Yes	Natural	249		300568	402804	4/8/14	2/4/10												
		Adina	Aquatic-Fresh water-Saline water-Sediment	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0006785	Halopiger xanaduensis SH-6	Halopiger xanaduensis SH-6	584	Gc01807	Halopiger xanaduensis SH-6	56049	PRJNA56049	Halxa			Halopiger xanaduensis SH-6 genome sequencing project				"26.8x pyrosequencing, 934.6x Illumina"		65	1	3	Yes	Natural	248		300567	402800	4/8/14	2/3/10												
		Adina	Aquatic-Fresh water-Sediment	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0006800	"Halostagnicola larsenii XH-48, DSM 17691"	Halostagnicola larsenii XH-48	586	Gc0000586	Halostagnicola larsenii XH-48	71415	PRJNA71415	HALLA			Halostagnicola larsenii XH-48 Genome Sequencing						61	1	4	Yes	Natural	248		300567	402803	8/18/14	2/4/10												
	1	Adina	Aquatic-Hot spring	Terrestrial	Volcanic	Archaea	Euryarchaeota	Gp0003646	"Methanothermus fervidus V24S, DSM 2088"	Methanothermus fervidus DSM 2088	13511	Gc01509	Methanothermus fervidus DSM 2088	33689	PRJNA33689	Mfer			Thermophilic methanogen						32	1	0	Yes	Natural	867		97601	97921	4/8/14	1/19/08												
		Adina	Aquatic-Hot spring	Aquatic	Thermal springs	Archaea	Euryarchaeota	Gp0017124	Thermococcus litoralis DSM 5473		8002	Gc0008002	Thermococcus litoralis DSM 5473	81925	PRJNA81925	OCC			Thermococcus litoralis DSM 5473 Genome sequencing				1000x		43	1	0	Yes	Natural					8/18/14	2/2/12												
		Adina	Aquatic-Hot spring-Hydrothermal vent	Aquatic	Marine	Archaea	Euryarchaeota	Gp0004774	Thermococcus gammatolerans EJ3		14544	Gc01034	Thermococcus gammatolerans EJ3	33671	PRJNA33671	TGAM			The genome sequence of this organism will allow comparison with other Thermococcales and genome-scale proteomic investigation of the most radioresistant hyperthermophilic archaea.		"50-75 kb (BAC); 3, 10 kb (shotgun)"		10x		54	1	0	Yes	Natural					4/8/14	2/4/09												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000789	Methanocaldococcus jannaschii DSM 2661		10682	Gc00004	Methanocaldococcus jannaschii DSM 2661	102	PRJNA102	MJ			Methane-producing thermophilic archeon		"2kb, 16kb inserts"	36718			31	1	2	Yes	Natural					3/26/14	11/27/07												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000775	Pyrococcus horikoshii OT3		10672	Gc00014	Pyrococcus horikoshii OT3	207	PRJNA207	P			Anaerobic hyperthermophilic archeon		"0.8-1.2 kb and 2.0-2.5 kb, fosmid and BAC libraries"			"pUC118, pBAC108L"	42	1	0	Yes	Natural					3/26/14	11/27/07												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0010986	Pyrococcus sp. NA2		19563	Gc01745	Pyrococcus sp. NA2	65431	PRJNA65431	PNA2			Pyrococcus sp. NA2 genome sequencing project						43	1	0	Yes	Natural					4/8/14	4/30/11												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0011188	Pyrococcus yayanosii CH1		19586	Gc01804	Pyrococcus yayanosii CH1	66055	PRJNA66055	PYCH			Pyrococcus yayanosii CH1 genome sequencing project				374x		52	1	0	Yes	Natural					4/8/14	6/9/11												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0011691	Thermococcus sp. 4557		19910	Gc01898	Thermococcus sp. 4557	67883	PRJNA67883	GQS			Thermococcus sp. 4557 genome sequencing project						56	1	0	Yes	Natural					3/26/14	7/28/11												
hydrothermal	0	Adina	Aquatic-Hot spring-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0021805	Thermococcus sp. CL1		25890	Gc02251	Thermococcus sp. CL1	167371	PRJNA167371	CL1			Thermococcus sp. strain CL1 was isolated from a deep-sea hydrothermal sulfide chimney on the Cleft Segment of the Juan de Fuca Ridge in the northeastern Pacific Ocean at 1994. It grows at 85C and optimum pH is 6.7						56	1	0	Yes	Natural					3/26/14	6/8/12												
		Adina	Aquatic-Hot spring-Hydrothermal vent-Marine-Solfataric field	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000746	Thermoplasma volcanium GSS1		10644	Gc00042	Thermoplasma volcanium GSS1	206	PRJNA206	T			Thermoacidophilic archaea				13x		40	1	0	Yes	Natural					3/26/14	11/27/07												
hydrothermal	0	Adina	Aquatic-Hot spring-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0019179	Pyrococcus sp. ST04		38895	Gc02435	Pyrococcus sp. ST04	162927	PRJNA162927	PY04			"Pyrococcus sp. strain ST04 was isolated in May 2004 from a piece of a hydrothermal sulfide chimney that was emitting hydrothermal fluid at temperatures up to 302¿C and a depth of 2,290 m. The sample was collected from the Stonehenge mound in the Mothra vent field along the Endeavour Segment of the Juan de Fuca Ridge using the deep-sea research submarine Alvin"				73x		42	1	0	Yes	Natural					3/26/14	12/9/12												
		Adina	Aquatic-Hypersaline sediment-Salt marsh-Sediment	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0000588	Methanococcus maripaludis S2		10509	Gc00177	Methanococcus maripaludis S2	10632	PRJNA10632	MMP			Anaerobic methane-producing archeon		small insert shotgun and fosmid libraries	38601	12x		33	1	0	Yes	Natural					5/20/14	11/27/07												
hydrothermal	0	Adina	Aquatic-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000778	"Archaeoglobus fulgidus VC-16, DSM 4304"		10675	Gc00011	Archaeoglobus fulgidus DSM 4304	104	PRJNA104	AF			Hyperthermophilic sulfate-reducing archaeon		plasmid and lamda clones	29642	6.8x	lambda-DASHII/ Eco RI	49	1	0	Yes	Natural					8/18/14	11/27/07												
hydrothermal	0	Adina	Aquatic-Marine	Industrial production	none	Archaea	Euryarchaeota	Gp0030878	"Archaeoglobus sulfaticallidus PM70-1, DSM 19444"	"Archaeoglobus sulfaticallidus, PM70-1, DSM 19444/JCM 14716"	35020	Gc0035020		196460	PRJNA196460				Complete genome of a novel lithoautotrophic sulfate-reducing archaeon.		454 shotgun and paired-end library	378653	51x		43	1	0	Yes	Natural					4/15/14	10/16/12												
marine	0	Adina	Aquatic-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000528	Haloarcula marismortui ATCC 43049		10455	Gc00231	Haloarcula marismortui ATCC 43049	105	PRJNA105	TRN			This organism will provide information on the proteins necessary for adaptation to a high salt environment.		"1.6?2-kb, 4.5?5-kb"		7.2x		61	2	7	Yes	Natural					3/26/14	11/27/07												
marine	0	Adina	Aquatic-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0018295	uncultured marine group II euryarchaeote		8078	Gc02117	uncultured marine group II euryarchaeote	77705	PRJNA77705	MG2			"motile, photo-heterotrophic cell focused on degradation of protein and lipids"				120x		52			No	Natural					2/11/12	2/11/12												
marine	0	Adina	Aquatic-Marine-Sediment	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000201	"Methanoculleus marisnigri JR1, DSM 1498"	Methanoculleus marisnigri	10173	Gc00512	Methanoculleus marisnigri JR1	16330	PRJNA16330	Memar			Methanogen present in marine and freshwater sediments		"3 kb, 7 kb, 36 kb"	29769	12x		62	1	0	Yes	Natural			3466	16754	4/8/14	11/27/07												
		Adina	Aquatic-Sediment	Aquatic	Sediment	Archaea	Euryarchaeota	Gp0001225	"Halorhabdus utahensis AX-2, DSM 12940"	Halorhabdus utahensis DSM 12940	11117	Gc01053	Halorhabdus utahensis DSM 12940	29305	PRJNA29305	Huta			Extreme halophile		"8Kb, Fosmid, 454"	382722	8.3x Sanger; 21.2x 454	"pMCL200, pcc1Fos"	63	1	0	Yes	Natural	867		97601	98060	3/26/14	11/27/07												
		Adina	Aquatic-Sediment	Aquatic	Sediment	Archaea	Euryarchaeota	Gp0003612	"Methanohalophilus mahii SLP, DSM 5219"	Methanohalophilus mahii DSM 5219	13499	Gc01255	Methanohalophilus mahii DSM 5219	30711	PRJNA30711	Mmah			Halophilic methanogen						43	1	0	Yes	Natural	867		97601	97914	4/8/14	1/18/08												
		Adina	Aquatic-Sediment	Aquatic	Sediment	Archaea	Euryarchaeota	Gp0003615	Methanomethylovorans hollandica DSM 15978	Methanomethylovorans hollandica DSM 15978	13502	Gc02470	Methanomethylovorans hollandica DSM 15978	50749	PRJNA50749	Metho			Methanomethylovorans hollandica DSM 15978 genome sequencing project.						42	1	1	Yes	Natural	867		97601	97917	4/8/14	1/18/08												
		Adina	Aquatic-Sediment	Aquatic	Sediment	Archaea	Euryarchaeota	Gp0003619	"Methanosalsum zhilinae WeN5, DSM 4017"	Methanosalsum zhilinae DSM 4017	13506	Gc01824	Methanosalsum zhilinae DSM 4017	40771	PRJNA40771	Mzhil			Methanosalsum zhilinae DSM 4017 Genome sequencing						39	1	0	Yes	Natural	867		97601	97920	4/8/14	1/18/08												
		Adina	Aquatic-Soda lakes	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0003647	"Natronococcus occultus SP4, DSM 3396"	Natronococcus occultus DSM 3396	13512	Gc02471	Natronococcus occultus SP4	46985	PRJNA46985	Natoc			Natronococcus occultus SP4 Genome sequencing						65	1	2	Yes	Natural	867		97601	97967	4/15/14	1/19/08												
hydrothermal	0	Adina	Deep sea-Hydrothermal sediment	none	none	Archaea	Euryarchaeota	Gp0043016	Palaeococcus pacificus DY20341		50205	Gc0050205	Palaeococcus pacificus DY20341	207495	PRJNA207495	PAP			"Complete Genome Sequence of Hyperthermophilic Palaeococcus pacificus DY20341T, Isolated from a Deep-Sea Hydrothermal Sediments."				25x		43	1	0	Yes	Natural					8/18/14	6/13/13												
"Deep sea
Hydrothermal vent
Marine"	0	Adina	Deep sea-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0004786	Aciduliprofundum boonei T469	Aciduliprofundum boonei T469	14968	Gc01221	Aciduliprofundum boonei T469	38403	PRJNA38403	Aboo			Acidophilic thermophile						39	1	0	Yes	Natural			300154	400461	4/8/14	6/16/09												
	0	Adina	Deep sea-Hydrothermal vent-Marine	none	none	Archaea	Euryarchaeota	Gp0004310	Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	14426	Gc02459	Aciduliprofundum sp. MAR08-339	73039	PRJNA73039	ACIM339			Aciduliprofundum sp. MAR08-339 Genome sequencing						44	1	0	Yes	Natural			300154	400462	4/8/14	1/17/09												
		Adina	Deep sea-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001306	"Thermococcus barophilus MP, DSM 11836"		11210	Gc01576	Thermococcus barophilus MP	19379	PRJNA19379	TERMP			This is the only true baro- and hyperthermophilic archaeon strain known so far.						42	1	1	Yes	Natural					4/8/14	11/27/07												
		Adina	Deep sea-Hydrothermal vent-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0001305	Thermococcus sp. AM4		11209	Gc01998	Thermococcus sp. AM4	19381	PRJNA19381	TAM4			"Thermococcus is extremely abundant in vent environments and this particular species and strain has the amazing ability to get its carbon and energy from carbon monoxide oxidation, resulting in hydrogen production."						55	1	0	Yes	Natural					4/8/14	11/27/07												
		Adina	Deep sea-Marine	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000734	Pyrococcus abyssi GE5		10633	Gc00053	Pyrococcus abyssi GE5	179	PRJNA179	PAB			Anaerobic hyperthermophilic archeon						45	1	1	Yes	Natural					4/8/14	11/27/07												
		Adina	Extreme-Saline water-Sea water	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0000749	Halobacterium sp. NRC-1		10647	Gc00039	Halobacterium sp. NRC-1	217	PRJNA217	VNG			Chemoheterotrophic obligate extreme halophilic (10 times that of sea water) archeon		shotgun library	45000	7.5x		66	1	2	Yes	Natural					5/20/14	11/27/07												
		Adina	Feces-Gastrointestinal tract-Host-Intestinal tract	Human	Digestive system	Archaea	Euryarchaeota	Gp0000406	Methanosphaera stadtmanae DSM 3091		10352	Gc00334	Methanosphaera stadtmanae DSM 3091	15579	PRJNA15579	Msp			Methanogen that uses methanol and hydrogen to produce methane		3-5 kb	21555	8.7x	pCR4-TOPO	28	1	0	Yes	Natural					3/26/14	11/27/07												
	1	Adina	Feces-Host-Mud-Sludge-Soil	Wastewater	none	Archaea	Euryarchaeota	Gp0000684	"Methanosarcina mazei Go1, DSM 3647"		10593	Gc00093	Methanosarcina mazei Go1	300	PRJNA300	MM			Anaerobic methane-producing archeon		"2-3kb, cosmid library"	40000	8.6x	"pTZR19R, SuperCos1"	41	1	0	Yes	Natural					5/20/14	11/27/07												
		Adina	Fermented food product-Fish-Host	Food production	none	Archaea	Euryarchaeota	Gp0007238	"Halalkalicoccus jeotgali B3, DSM 18796"		17274	Gc01320	Halalkalicoccus jeotgali B3	49517	PRJNA49517	HACJB3			Halalkalicoccus jeotgali B3 genome sequencing project.				94x		63	1	6	Yes	Natural					5/20/14	6/11/10												
		Adina	Fresh water	Aquatic	Non-marine Saline and Alkaline	Archaea	Euryarchaeota	Gp0006493	"Haloferax mediterranei R-4, ATCC 33500"		16488	Gc02236	Haloferax mediterranei ATCC 33500	43185	PRJNA43185	HFX			"Haloferax mediterranei ATCC 33500 (CGMCC1.2087) is a promising producer of poly (3-hydroxybutyrate-co-3-hydroxyvalerate) (PHBV), a desirable bioplastic. It is also a good model system for investigation of the physiology and metabolism of extremely halophilic archaea"						60	1	3	Yes	Natural					5/20/14	1/30/10												
	1	Adina	Fresh water	Terrestrial	Oil reservoir	Archaea	Euryarchaeota	Gp0012582	Methanococcus maripaludis X1		19944	Gc01968	Methanococcus maripaludis X1	68579	PRJNA68579	GYY			Genome of a non-culturable Methanococcus maripaludis strain extracted from a metagenomic survey of petroleum reservoir fluids						33	1	0	No	Natural					3/26/14	9/16/11												
		Adina	Fresh water	Aquatic	Marine	Archaea	Euryarchaeota	Gp0002331	Methanococcus voltae A3	Methanococcus voltae A3	12223	Gc01340	Methanococcus voltae A3	20131	PRJNA20131	Mvol			Methanogenic archaeon isolated from a salt-marsh						29	1	0	Yes	Natural			3521	16136	3/26/14	11/27/07												
		Adina	Fresh water	none	none	Archaea	Euryarchaeota	Gp0002315	"Methanohalobium evestigatum Z-7303, DSM 3721"	Methanohalobium evestigatum Z-7303	12207	Gc01304	Methanohalobium evestigatum Z-7303	37945	PRJNA37945	Metev			Methanohalobium evestigatum Z-7303 genome sequencing						36	1	1	Yes	Natural			52327	52345	3/26/14	11/27/07												
		Adina	Fresh water-Host	none	none	Archaea	Euryarchaeota	Gp0008935	Methanobacterium sp. AL-21	Methanobacterium sp. AL-21	17967	Gc01675	Methanobacterium sp. AL-21	53495	PRJNA53495	Metbo			Methanobacterium sp. AL-21 genome sequencing project		"HTUA , WGS paired genomic random"				36	1	0	Yes	Natural	233		300570	402817	8/18/14	10/5/10												
		Adina	Fresh water-Ponds	none	none	Archaea	Euryarchaeota	Gp0008665	Halobacterium sp. DL1	Halobacterium sp. DL1	17803	Gc0017803	Halobacterium sp. DL1	59739	PRJNA59739	HalDL1			Halobacterium sp. DL1 genome sequencing				30x		66	1	1	Yes	Natural	246		300573	402828	6/25/14	9/3/10												
		Adina	Fresh water-Rice paddies-Sediment-Sludge-Wastewater	Wastewater	none	Archaea	Euryarchaeota	Gp0000268	Methanosaeta thermophila PT	Methanosaeta thermophila PT	10233	Gc00452	Methanosaeta thermophila PT	15765	PRJNA15765	Mthe			Produces methane from acetate				11x		54	1	0	Yes	Natural			3532	16140	4/8/14	11/27/07												
		Adina	Fresh water-Sediment	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0000186	Methanococcus maripaludis C5	Methanococcus maripaludis C5	10158	Gc00527	Methanococcus maripaludis C5	17641	PRJNA17641	MmarC5			Anaerobic methane-producing archaeon				14x		33	1	1	Yes	Natural			3521	16752	4/8/14	11/27/07												
		Adina	Fresh water-Sediment	Aquatic	Marine	Archaea	Euryarchaeota	Gp0000020	Methanococcus maripaludis C6	Methanococcus maripaludis C6	10007	Gc00678	Methanococcus maripaludis C6	19639	PRJNA19639	MmarC6			Isolated from intertidal sediments						33	1	0	Yes	Natural			3521	16134	4/8/14	11/27/07												
		Adina	Fresh water-Sediment-Wastewater	Aquatic	Sediment	Archaea	Euryarchaeota	Gp0000207	Methanocorpusculum labreanum Z	Methanocorpusculum labreanum Z	10179	Gc00506	Methanocorpusculum labreanum Z	18109	PRJNA18109	Mlab			Methanogen isolated from the LaBrea Tar Pits		"3kb, 7kb, 36kb"	"26432 Sanger, 390106 454"	34x	"pUC18, pMCL200, pCC1Fos"	50	1	0	Yes	Natural			3466	16137	3/26/14	11/27/07												
		Adina	Fresh water-Sludge-Wastewater	Wastewater	none	Archaea	Euryarchaeota	Gp0002323	Methanosaeta concilii GP-6		12215	Gc01730	Methanosaeta concilii GP-6	63185	PRJNA63185	MCON			"Methanosaeta, the predominant methane producer on earth, has received little attention in recent years due to its slow growth and difficulties in culturing. Therefore, the genome sequence is a valuable source of information about this microbe and offers the most tractable approach to understanding its physiology. Furthermore, the genome sequence of Methanosaeta concilii GP-6 significantly increases our knowledge of the role of acetate-utilizing methanoarchaea in the global carbon cycle, and also allows for a more complete comparative genomics analysis of methanogenic archaea as now both genera of aceticlastic methanoarchaea are now represented."						51	1	1	Yes	Natural					4/8/14	11/27/07												
		Adina	Fresh water-Terrestrial	Aquatic	Freshwater	Archaea	Euryarchaeota	Gp0000073	Methanoregula boonei 6A8	Methanoregula boonei 6A8	10056	Gc00629	Candidatus Methanoregula boonei 6A8	18505	PRJNA18505	Mboo			Acidophilic methanogen						55	1	0	Yes	Natural			3530	16755	7/15/14	11/27/07												
host associated	0	Adina	Host	Mammals	Digestive system	Archaea	Euryarchaeota	Gp0002311	Methanobrevibacter ruminantium M1		12204	Gc01203	Methanobrevibacter ruminantium M1	34681	PRJNA34681	mru			indicator of fecal pollution from domesticated ruminants in environmental water samples.						33	1	0	Yes	Natural					3/26/14	11/27/07												
host associated	0	Adina	Host	Mammals	Digestive system	Archaea	Euryarchaeota	Gp0021414	Methanobrevibacter sp. AbM4		25499	Gc0025499	Methanobrevibacter sp. AbM4	157813	PRJNA157813	ABM4			The genome sequence of Methanobrevibacter sp. Abm4 isolated from the ovine rumen.				234x		29	1	0	Yes	Natural					4/8/14	5/18/12												
